ID_hecho,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO
2016-0135,2016-10-24,PEATON,29,2016-10-25
2016-0142,2016-11-05,MOTO,46,2016-11-05
2016-0145,2016-11-07,MOTO,39,2016-11-07
2016-0147,2016-11-16,MOVIL,55,2016-11-16
2016-0150,2016-11-18,CARGAS,41,2016-11-18
2016-0152,2016-11-23,MOTO,42,2016-11-24
2016-0153,2016-11-25,PEATON,83,2016-11-25
2016-0156,2016-11-26,MOTO,23,2016-11-30
2016-0160,2016-12-06,CARGAS,29,2016-12-06
2016-0161,2016-12-06,PEATON,50,2016-12-06
2016-0162,2016-12-07,PEATON,38,2017-01-01
2016-0168,2016-12-13,MOTO,43,2016-12-13
2016-0169,2016-12-15,MOTO,24,2016-12-16
2016-0170,2016-12-19,MOTO,21,2016-12-19
2016-0172,2016-12-26,MOTO,38,2016-12-26
2017-0001,2017-01-02,MOTO,18,2017-01-02
2017-0003,2017-01-05,CARGAS,33,2017-01-05
2017-0007,2017-01-11,PEATON,48,2017-01-11
2017-0008,2017-01-16,MOTO,29,2017-01-16
2017-0009,2017-01-16,MOTO,36,2017-01-16
2017-0010,2017-01-16,MOTO,23,2017-01-16
2017-0011,2017-01-22,MOTO,29,2017-01-22
2017-0012,2017-01-24,MOTO,30,2017-01-24
2017-0013,2017-01-27,PEATON,4,2017-01-27
2017-0014,2017-01-28,MOTO,22,2017-01-28
2017-0015,2017-02-02,PEATON,82,2017-02-21
2017-0016,2017-02-03,MOTO,27,2017-02-04
2017-0017,2017-02-06,MOTO,32,2017-02-06
2017-0018,2017-02-09,MOTO,30,2017-02-09
2017-0021,2017-02-18,MOTO,43,2017-02-18
2017-0024,2017-02-23,PEATON,39,2017-02-23
2017-0025,2017-02-24,MOTO,23,2017-02-24
2017-0026,2017-02-26,AUTO,23,2017-02-26
2017-0026,2017-02-26,AUTO,19,2017-02-26
2017-0027,2017-02-26,PEATON,SD,2017-02-26
2017-0028,2017-02-28,PEATON,87,2017-02-28
2017-0029,2017-03-07,SD,34,2017-03-07
2017-0030,2017-03-07,AUTO,27,2017-03-07
2017-0031,2017-03-11,AUTO,70,2017-03-11
2017-0032,2017-03-12,AUTO,40,2017-03-12
