ID_hecho,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO
2020-0036,2020-08-07,PEATON,72,2020-08-22
2020-0037,2020-08-29,PEATON,38,2020-08-29
2020-0038,2020-08-30,AUTO,46,2020-08-30
2020-0038,2020-08-30,AUTO,64,2020-08-30
2020-0039,2020-09-01,PEATON,44,2020-09-01
2020-0040,2020-09-12,AUTO,SD,2020-09-12
2020-0041,2020-09-28,MOTO,34,2020-09-28
2020-0042,2020-09-29,PEATON,53,2020-09-29
2020-0043,2020-09-30,PEATON,64,2020-09-30
2020-0044,2020-10-05,AUTO,43,2020-10-05
2020-0045,2020-10-19,AUTO,50,2020-10-19
2020-0046,2020-10-27,MOTO,41,2020-10-27
2020-0047,2020-10-27,PEATON,15,2020-10-27
2020-0048,2020-10-29,MOTO,41,2020-10-29
2020-0049,2020-10-30,PEATON,36,2020-10-30
2020-0050,2020-11-01,PEATON,28,2020-11-01
2020-0051,2020-11-05,MOTO,49,2020-11-05
2020-0052,2020-11-07,BICICLETA,44,2020-11-07
2020-0053,2020-11-09,AUTO,27,2020-11-09
2020-0054,2020-11-19,BICICLETA,59,2020-11-23
2020-0055,2020-11-19,PEATON,91,2020-12-11
2020-0056,2020-11-21,MOTO,34,2020-11-21
2020-0057,2020-11-23,PEATON,84,2020-11-23
2020-0058,2020-11-24,PEATON,57,2020-11-25
2020-0059,2020-12-01,PEATON,49,2020-12-14
2020-0060,2020-12-03,PEATON,69,2020-12-03
2020-0061,2020-12-03,MOTO,45,2020-12-04
2020-0062,2020-12-04,BICICLETA,47,2020-12-04
2020-0063,2020-12-05,PEATON,38,2020-12-05
2020-0063,2020-12-05,MOTO,21,2020-12-05
2020-0065,2020-12-05,MOTO,24,2020-12-06
2020-0066,2020-12-07,MOTO,27,2020-12-07
2020-0067,2020-12-11,PEATON,51,2020-12-11
2020-0068,2020-12-12,MOTO,71,2020-12-20
2020-0069,2020-12-15,MOTO,25,2020-12-15
2020-0070,2020-12-17,PEATON,81,2020-12-22
2020-0071,2020-12-17,PEATON,4,2020-12-17
2020-0072,2020-12-19,BICICLETA,42,2020-12-19
2020-0073,2020-12-20,MOTO,56,2020-12-20
2020-0074,2020-12-20,AUTO,39,2020-12-20
2020-0075,2020-12-23,PEATON,23,2020-12-23
2020-0076,2020-12-24,AUTO,78,2021-01-17
2020-0077,2020-12-25,MOTO,30,2020-12-25
2020-0077,2020-12-25,MOTO,24,2020-12-25
2020-0078,2020-12-25,BICICLETA,26,2020-12-25
2020-0079,2020-12-27,MOTO,28,2020-12-27
2021-0001,2021-01-06,MOTO,36,2021-01-06
2021-0002,2021-01-07,MOTO,47,2021-01-07
2021-0003,2021-01-10,MOTO,27,2021-01-10
2021-0004,2021-01-11,PEATON,61,2021-01-11
2021-0005,2021-01-11,PEATON,73,2021-01-14
2021-0006,2021-01-12,MOTO,23,2021-01-12
2021-0007,2021-01-18,MOTO,84,2021-01-26
2021-0008,2021-01-22,PEATON,28,2021-01-22
2021-0009,2021-01-23,MOTO,31,2021-01-23
2021-0010,2021-01-23,MOTO,28,2021-01-23
2021-0011,2021-01-27,PEATON,21,2021-01-27
2021-0012,2021-01-29,PEATON,SD,2021-01-29
2021-0013,2021-01-31,MOTO,41,2021-01-31
2021-0014,2021-02-02,PEATON,28,2021-02-18
2021-0015,2021-02-06,MOTO,26,2021-02-06
2021-0016,2021-02-14,AUTO,22,2021-02-14
2021-0017,2021-02-17,MOTO,33,2021-02-17
2021-0018,2021-02-20,PEATON,36,2021-03-08
2021-0019,2021-02-21,MOTO,30,2021-02-21
2021-0020,2021-02-21,PEATON,SD,2021-02-21
2021-0021,2021-02-26,MOTO,39,2021-03-04
2021-0022,2021-02-28,PASAJEROS,68,2021-03-06
2021-0023,2021-03-01,MOTO,24,2021-03-01
2021-0024,2021-03-03,BICICLETA,5,2021-03-03
2021-0025,2021-03-11,MOTO,37,2021-03-11
2021-0026,2021-03-15,MOTO,36,2021-03-15
2021-0027,2021-03-16,MOTO,19,2021-03-16
2021-0028,2021-03-29,PEATON,SD,2021-03-29
2021-0029,2021-03-31,AUTO,26,2021-04-02
2021-0030,2021-04-03,PEATON,36,2021-04-07
2021-0031,2021-04-07,PEATON,68,2021-04-11
2021-0032,2021-04-10,PEATON,60,2021-04-29
2021-0033,2021-04-14,AUTO,33,2021-04-14
2021-0034,2021-04-19,MOTO,26,2021-04-19
2021-0035,2021-05-03,MOTO,24,2021-05-03
2021-0036,2021-05-09,MOTO,36,2021-05-09
2021-0037,2021-05-11,PEATON,58,2021-05-11
2021-0038,2021-05-14,MOTO,44,2021-05-14
2021-0039,2021-05-15,BICICLETA,86,2021-06-05
2021-0040,2021-05-20,MOTO,27,2021-05-20
2021-0041,2021-05-20,PEATON,75,2021-05-20
2021-0042,2021-05-21,PEATON,39,2021-05-21
2021-0043,2021-05-22,PEATON,50,2021-05-22
2021-0044,2021-05-25,MOTO,21,2021-05-25
2021-0045,2021-05-26,MOTO,22,2021-05-26
2021-0046,2021-05-31,AUTO,20,2021-05-31
2021-0047,2021-06-02,MOTO,59,2021-06-02
2021-0048,2021-06-03,BICICLETA,44,2021-06-23
2021-0049,2021-06-03,AUTO,74,2021-06-03
2021-0050,2021-06-10,MOTO,56,2021-06-10
2021-0051,2021-06-15,PEATON,73,2021-06-16
2021-0052,2021-06-20,MOTO,19,2021-06-20
2021-0053,2021-06-20,PEATON,58,2021-06-30
2021-0054,2021-06-22,MOTO,41,2021-06-22
2021-0055,2021-06-29,MOTO,47,2021-06-29
2021-0056,2021-07-09,BICICLETA,60,2021-07-09
2021-0057,2021-07-10,AUTO,46,2021-07-10
2021-0058,2021-07-21,PEATON,24,2021-07-21
2021-0059,2021-07-22,AUTO,44,2021-07-22
2021-0060,2021-07-22,PEATON,80,2021-07-22
2021-0061,2021-07-24,PEATON,55,2021-07-24
2021-0062,2021-07-27,AUTO,73,2021-07-27
2021-0063,2021-08-02,AUTO,31,2021-08-02
2021-0064,2021-08-02,PEATON,37,2021-08-03
2021-0065,2021-08-06,PEATON,63,2021-08-10
2021-0066,2021-08-06,PEATON,59,2021-08-09
2021-0067,2021-08-08,MOTO,27,2021-08-08
2021-0068,2021-08-15,MOTO,39,2021-08-15
2021-0069,2021-08-20,PEATON,17,2021-08-21
2021-0070,2021-08-28,MOTO,31,2021-08-28
2021-0071,2021-08-31,PEATON,88,2021-09-01
2021-0072,2021-09-01,PEATON,57,2021-09-01
2021-0073,2021-09-18,BICICLETA,76,2021-09-18
2021-0074,2021-09-20,MOTO,55,2021-09-20
2021-0075,2021-09-21,PEATON,65,2021-09-21
2021-0076,2021-10-16,MOTO,31,2021-10-16
2021-0077,2021-10-18,MOTO,31,2021-10-18
2021-0078,2021-10-23,MOTO,22,2021-10-23
2021-0079,2021-10-25,PEATON,SD,2021-10-25
2021-0080,2021-10-28,MOTO,32,2021-10-28
2021-0081,2021-11-02,MOTO,26,2021-11-02
2021-0082,2021-11-06,MOTO,38,2021-11-06
2021-0083,2021-11-09,MOTO,30,2021-11-09
2021-0084,2021-11-11,AUTO,32,2021-11-11
2021-0097,2021-11-18,BICICLETA,53,2021-11-19
2021-0085,2021-11-20,MOTO,49,2021-11-20
2021-0086,2021-11-25,PEATON,75,2021-11-25
2021-0087,2021-11-27,PEATON,73,2021-11-27
2021-0088,2021-12-01,MOTO,45,2021-12-07
2021-0089,2021-12-02,MOTO,41,2021-12-11
2021-0090,2021-12-10,PEATON,73,2022-01-03
2021-0091,2021-12-11,MOTO,24,2021-12-11
2021-0092,2021-12-12,PEATON,50,2021-12-12
2021-0093,2021-12-13,MOTO,18,2021-12-18
2021-0094,2021-12-20,MOTO,43,2021-12-20
2021-0095,2021-12-30,MOTO,27,2022-01-02
2021-0096,2021-12-15,AUTO,60,2021-12-20
