ID,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO,RANGO_ETARIO
2017-0016,2017-02-03,MOTO,27.0,2017-02-04,19-30
2017-0017,2017-02-06,MOTO,32.0,2017-02-06,31-45
2017-0018,2017-02-09,MOTO,30.0,2017-02-09,31-45
2017-0021,2017-02-18,MOTO,43.0,2017-02-18,31-45
2017-0024,2017-02-23,PEATON,39.0,2017-02-23,31-45
2017-0025,2017-02-24,MOTO,23.0,2017-02-24,19-30
2017-0026,2017-02-26,AUTO,23.0,2017-02-26,19-30
2017-0026,2017-02-26,AUTO,19.0,2017-02-26,19-30
2017-0027,2017-02-26,PEATON,,2017-02-26,
2017-0028,2017-02-28,PEATON,87.0,2017-02-28,61+
2017-0029,2017-03-07,SD,34.0,2017-03-07,31-45
2017-0030,2017-03-07,AUTO,27.0,2017-03-07,19-30
2017-0031,2017-03-11,AUTO,70.0,2017-03-11,61+
2017-0032,2017-03-12,AUTO,40.0,2017-03-12,31-45
2017-0033,2017-03-12,AUTO,28.0,2017-03-12,19-30
2017-0034,2017-03-13,PEATON,43.0,2017-03-13,31-45
2017-0035,2017-03-23,AUTO,28.0,2017-03-23,19-30
2017-0035,2017-03-23,AUTO,32.0,2017-03-23,31-45
2017-0035,2017-03-23,AUTO,30.0,2017-03-23,31-45
2017-0036,2017-03-29,MOTO,,2017-03-29,
2017-0036,2017-03-29,MOTO,20.0,2017-03-29,19-30
2017-0037,2017-03-31,MOTO,41.0,2017-03-31,31-45
2017-0038,2017-04-01,MOTO,40.0,2017-04-01,31-45
2017-0040,2017-04-03,AUTO,43.0,2017-04-03,31-45
2017-0042,2017-04-10,MOTO,,2017-04-10,
2017-0045,2017-04-14,MOTO,21.0,2017-04-14,19-30
2017-0047,2017-04-23,MOTO,37.0,2017-04-23,31-45
2017-0049,2017-04-27,PEATON,22.0,2017-04-27,19-30
2017-0050,2017-04-28,MOTO,46.0,2017-04-28,46-60
2017-0050,2017-04-28,MOTO,16.0,2017-04-28,0-18
2017-0051,2017-05-01,AUTO,33.0,2017-05-01,31-45
2017-0052,2017-05-05,PEATON,47.0,2017-05-05,46-60
2017-0053,2017-05-05,MOTO,28.0,2017-05-05,19-30
2017-0054,2017-05-07,MOTO,20.0,2017-05-07,19-30
2017-0055,2017-05-09,AUTO,32.0,2017-05-09,31-45
2017-0058,2017-05-09,PEATON,80.0,2017-05-09,61+
2017-0059,2017-05-11,PEATON,39.0,2017-05-11,31-45
2017-0060,2017-05-13,MOTO,30.0,2017-05-13,31-45
2017-0061,2017-05-15,PEATON,47.0,2017-05-16,46-60
2017-0062,2017-05-15,MOTO,35.0,2017-05-15,31-45
2017-0063,2017-05-17,PEATON,79.0,2017-05-17,61+
2017-0064,2017-05-20,CARGAS,61.0,2017-05-20,61+
2017-0065,2017-05-22,BICICLETA,21.0,2017-05-22,19-30
2017-0066,2017-05-22,PEATON,10.0,2017-05-22,0-18
2017-0067,2017-05-23,MOTO,21.0,2017-05-23,19-30
2017-0068,2017-05-27,MOTO,32.0,2017-05-27,31-45
2017-0069,2017-05-29,MOTO,39.0,2017-05-29,31-45
2017-0070,2017-05-30,PEATON,80.0,2017-05-31,61+
2017-0072,2017-06-03,AUTO,25.0,2017-06-03,19-30
2017-0073,2017-06-04,MOTO,19.0,2017-06-04,19-30
2017-0074,2017-06-04,SD,70.0,2017-06-04,61+
2017-0075,2017-06-12,PEATON,55.0,2017-06-12,46-60
2017-0076,2017-06-13,PEATON,30.0,2017-06-13,31-45
2017-0077,2017-06-17,MOTO,60.0,2017-06-18,61+
2017-0079,2017-06-19,MOTO,33.0,2017-06-19,31-45
2017-0080,2017-06-22,PEATON,95.0,2017-06-22,61+
2017-0082,2017-06-25,PEATON,36.0,2017-06-25,31-45
2017-0083,2017-07-04,MOTO,37.0,2017-07-04,31-45
2017-0084,2017-07-05,PEATON,73.0,2017-07-05,61+
2017-0085,2017-07-07,PEATON,84.0,2017-07-07,61+
2017-0086,2017-07-09,PEATON,30.0,2017-07-09,31-45
2017-0087,2017-07-10,PEATON,73.0,2017-07-10,61+
2017-0088,2017-07-10,PEATON,43.0,2017-07-10,31-45
2017-0090,2017-07-15,PEATON,22.0,2017-07-15,19-30
2017-0091,2017-07-15,MOTO,58.0,2017-07-15,46-60
2017-0092,2017-07-24,PEATON,66.0,2017-07-24,61+
2017-0093,2017-07-25,PEATON,,2017-07-25,
2017-0094,2017-07-27,BICICLETA,56.0,2017-07-27,46-60
2017-0095,2017-08-06,MOTO,36.0,2017-08-06,31-45
2017-0096,2017-08-07,PEATON,87.0,2017-08-07,61+
2017-0098,2017-08-08,PEATON,61.0,2017-08-08,61+
2017-0099,2017-08-17,BICICLETA,28.0,2017-08-17,19-30
2017-0100,2017-08-21,MOTO,16.0,2017-08-21,0-18
2017-0101,2017-08-23,PEATON,61.0,2017-08-23,61+
2017-0102,2017-08-24,PEATON,46.0,2017-08-24,46-60
2017-0104,2017-08-25,PEATON,18.0,2017-08-25,19-30
2017-0106,2017-08-31,PEATON,85.0,2017-08-31,61+
2017-0107,2017-09-01,MOTO,41.0,2017-09-01,31-45
2017-0108,2017-09-02,AUTO,17.0,2017-09-02,0-18
2017-0108,2017-09-02,AUTO,10.0,2017-09-02,0-18
2017-0109,2017-09-04,MOTO,21.0,2017-09-05,19-30
2017-0110,2017-09-06,PEATON,56.0,2017-09-07,46-60
2017-0111,2017-09-07,PEATON,79.0,2017-09-07,61+
2017-0112,2017-09-10,AUTO,,2017-09-13,
2017-0113,2017-09-11,PEATON,76.0,2017-09-11,61+
2017-0114,2017-09-15,AUTO,26.0,2017-09-15,19-30
2017-0116,2017-09-20,MOTO,22.0,2017-09-20,19-30
2017-0118,2017-09-22,MOTO,26.0,2017-09-29,19-30
2017-0120,2017-10-02,MOTO,20.0,2017-10-02,19-30
2017-0123,2017-10-10,PEATON,36.0,2017-10-10,31-45
2017-0124,2017-10-12,MOTO,51.0,2017-10-12,46-60
2017-0125,2017-10-13,MOTO,29.0,2017-10-13,19-30
2017-0126,2017-10-14,AUTO,36.0,2017-10-14,31-45
2017-0127,2017-10-16,MOTO,24.0,2017-10-16,19-30
2017-0128,2017-10-17,PEATON,60.0,2017-10-17,61+
2017-0129,2017-10-26,MOTO,57.0,2017-10-26,46-60
2017-0130,2017-10-27,AUTO,23.0,2017-10-27,19-30
2017-0132,2017-10-30,MOTO,23.0,2017-10-30,19-30
2017-0134,2017-11-06,PEATON,47.0,2017-11-06,46-60
