ID,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO,RANGO_ETARIO
2019-0054,2019-06-20,MOTO,21.0,2019-06-20,19-30
2019-0055,2019-06-20,MOTO,47.0,2019-06-21,46-60
2019-0056,2019-06-29,PEATON,75.0,2019-06-29,61+
2019-0057,2019-07-05,PEATON,63.0,2019-07-08,61+
2019-0058,2019-07-10,MOTO,39.0,2019-07-10,31-45
2019-0059,2019-07-13,MOTO,30.0,2019-07-13,31-45
2019-0060,2019-07-17,PEATON,78.0,2019-07-17,61+
2019-0061,2019-07-17,PEATON,58.0,2019-07-17,46-60
2019-0062,2019-08-01,PEATON,60.0,2019-08-02,61+
2019-0063,2019-08-04,MOTO,,2019-08-04,
2019-0064,2019-08-06,MOTO,20.0,2019-08-06,19-30
2019-0065,2019-08-08,PEATON,55.0,2019-08-09,46-60
2019-0066,2019-08-11,PEATON,40.0,2019-08-11,31-45
2019-0067,2019-08-14,MOTO,35.0,2019-08-14,31-45
2019-0068,2019-08-14,MOTO,53.0,2019-08-14,46-60
2019-0069,2019-08-17,MOTO,43.0,2019-08-17,31-45
2019-0070,2019-08-22,MOTO,25.0,2019-08-22,19-30
2019-0071,2019-08-27,PEATON,,2019-08-27,
2019-0072,2019-08-28,AUTO,22.0,2019-09-02,19-30
2019-0073,2019-08-29,AUTO,29.0,2019-09-06,19-30
2019-0074,2019-08-29,MOTO,35.0,2019-08-29,31-45
2019-0075,2019-08-30,MOTO,31.0,2019-08-30,31-45
2019-0076,2019-09-05,MOTO,29.0,2019-09-05,19-30
2019-0077,2019-09-08,PEATON,28.0,2019-09-08,19-30
2019-0078,2019-09-12,PEATON,72.0,2019-09-15,61+
2019-0079,2019-09-17,MOTO,57.0,2019-09-17,46-60
2019-0080,2019-09-17,PEATON,76.0,2019-09-17,61+
2019-0081,2019-09-23,PEATON,67.0,2019-10-07,61+
2019-0082,2019-09-25,BICICLETA,47.0,2019-09-25,46-60
2019-0083,2019-09-26,AUTO,73.0,2019-09-26,61+
2019-0084,2019-09-27,BICICLETA,40.0,2019-09-27,31-45
2019-0085,2019-10-09,BICICLETA,20.0,2019-10-09,19-30
2019-0086,2019-10-15,MOTO,29.0,2019-10-15,19-30
2019-0087,2019-10-21,MOTO,41.0,2019-10-21,31-45
2019-0088,2019-10-22,PEATON,27.0,2019-10-22,19-30
2019-0089,2019-10-23,PEATON,92.0,2019-10-23,61+
2019-0090,2019-10-24,PEATON,67.0,2019-10-26,61+
2019-0091,2019-11-01,PEATON,35.0,2019-11-01,31-45
2019-0092,2019-11-03,PEATON,37.0,2019-11-03,31-45
2019-0093,2019-11-13,BICICLETA,16.0,2019-11-13,0-18
2019-0094,2019-11-18,MOTO,,2019-11-18,
2019-0095,2019-11-20,MOTO,,2019-11-20,
2019-0096,2019-11-22,PEATON,73.0,2019-11-22,61+
2019-0097,2019-11-25,MOTO,23.0,2019-11-25,19-30
2019-0098,2019-11-25,PASAJEROS,61.0,2019-11-29,61+
2019-0100,2019-12-05,MOTO,38.0,2019-12-18,31-45
2019-0101,2019-12-17,MOTO,25.0,2019-12-17,19-30
2019-0102,2019-12-17,MOTO,18.0,2019-12-18,19-30
2019-0103,2019-12-18,MOTO,24.0,2019-12-18,19-30
2019-0104,2019-12-21,MOTO,23.0,2019-12-22,19-30
2020-0001,2020-01-04,PEATON,87.0,2020-01-04,61+
2020-0002,2020-01-05,MOTO,36.0,2020-01-07,31-45
2020-0003,2020-01-11,PEATON,44.0,2020-01-11,31-45
2020-0004,2020-01-14,PEATON,82.0,2020-01-15,61+
2020-0005,2020-01-14,MOTO,25.0,2020-02-10,19-30
2020-0006,2020-01-20,MOTO,23.0,2020-01-20,19-30
2020-0007,2020-01-27,PEATON,52.0,2020-01-27,46-60
2020-0008,2020-01-30,MOTO,49.0,2020-01-30,46-60
2020-0009,2020-02-04,PEATON,48.0,2020-02-05,46-60
2020-0010,2020-02-08,MOTO,,2020-02-08,
2020-0011,2020-02-12,MOTO,31.0,2020-02-12,31-45
2020-0012,2020-02-18,PEATON,66.0,2020-02-18,61+
2020-0013,2020-02-20,PEATON,58.0,2020-03-03,46-60
2020-0014,2020-02-27,MOTO,,2020-02-27,
2020-0015,2020-02-28,MOTO,29.0,2020-02-28,19-30
2020-0016,2020-02-29,PEATON,68.0,2020-03-09,61+
2020-0017,2020-03-05,PEATON,,2020-03-05,
2020-0018,2020-03-09,MOTO,31.0,2020-03-09,31-45
2020-0019,2020-03-10,PEATON,80.0,2020-03-10,61+
2020-0020,2020-03-13,PEATON,74.0,2020-03-17,61+
2020-0021,2020-03-14,PEATON,87.0,2020-03-14,61+
2020-0022,2020-04-07,AUTO,44.0,2020-04-07,31-45
2020-0023,2020-04-09,AUTO,44.0,2020-05-03,31-45
2020-0024,2020-04-24,AUTO,53.0,2020-04-24,46-60
2020-0025,2020-05-12,PEATON,,2020-05-12,
2020-0026,2020-05-17,MOTO,28.0,2020-05-17,19-30
2020-0027,2020-05-18,PEATON,76.0,2020-05-18,61+
2020-0028,2020-05-19,PEATON,91.0,2020-05-23,61+
2020-0029,2020-06-10,PEATON,80.0,2020-06-12,61+
2020-0030,2020-06-16,MOTO,40.0,2020-06-16,31-45
2020-0031,2020-06-30,MOTO,29.0,2020-06-30,19-30
2020-0032,2020-07-10,MOTO,21.0,2020-07-10,19-30
2020-0033,2020-07-19,AUTO,32.0,2020-07-19,31-45
2020-0034,2020-08-02,PEATON,,2020-08-02,
2020-0035,2020-08-04,MOTO,40.0,2020-08-04,31-45
2020-0036,2020-08-07,PEATON,72.0,2020-08-22,61+
2020-0037,2020-08-29,PEATON,38.0,2020-08-29,31-45
2020-0038,2020-08-30,AUTO,46.0,2020-08-30,46-60
2020-0038,2020-08-30,AUTO,64.0,2020-08-30,61+
2020-0039,2020-09-01,PEATON,44.0,2020-09-01,31-45
2020-0040,2020-09-12,AUTO,,2020-09-12,
2020-0041,2020-09-28,MOTO,34.0,2020-09-28,31-45
2020-0042,2020-09-29,PEATON,53.0,2020-09-29,46-60
2020-0043,2020-09-30,PEATON,64.0,2020-09-30,61+
2020-0044,2020-10-05,AUTO,43.0,2020-10-05,31-45
2020-0045,2020-10-19,AUTO,50.0,2020-10-19,46-60
2020-0046,2020-10-27,MOTO,41.0,2020-10-27,31-45
2020-0047,2020-10-27,PEATON,15.0,2020-10-27,0-18
2020-0048,2020-10-29,MOTO,41.0,2020-10-29,31-45
2020-0049,2020-10-30,PEATON,36.0,2020-10-30,31-45
2020-0050,2020-11-01,PEATON,28.0,2020-11-01,19-30
2020-0051,2020-11-05,MOTO,49.0,2020-11-05,46-60
2020-0052,2020-11-07,BICICLETA,44.0,2020-11-07,31-45
2020-0053,2020-11-09,AUTO,27.0,2020-11-09,19-30
2020-0054,2020-11-19,BICICLETA,59.0,2020-11-23,46-60
2020-0055,2020-11-19,PEATON,91.0,2020-12-11,61+
2020-0056,2020-11-21,MOTO,34.0,2020-11-21,31-45
2020-0057,2020-11-23,PEATON,84.0,2020-11-23,61+
2020-0058,2020-11-24,PEATON,57.0,2020-11-25,46-60
2020-0059,2020-12-01,PEATON,49.0,2020-12-14,46-60
2020-0060,2020-12-03,PEATON,69.0,2020-12-03,61+
2020-0061,2020-12-03,MOTO,45.0,2020-12-04,46-60
2020-0062,2020-12-04,BICICLETA,47.0,2020-12-04,46-60
2020-0063,2020-12-05,PEATON,38.0,2020-12-05,31-45
2020-0063,2020-12-05,MOTO,21.0,2020-12-05,19-30
2020-0065,2020-12-05,MOTO,24.0,2020-12-06,19-30
2020-0066,2020-12-07,MOTO,27.0,2020-12-07,19-30
2020-0067,2020-12-11,PEATON,51.0,2020-12-11,46-60
2020-0068,2020-12-12,MOTO,71.0,2020-12-20,61+
2020-0069,2020-12-15,MOTO,25.0,2020-12-15,19-30
2020-0070,2020-12-17,PEATON,81.0,2020-12-22,61+
2020-0071,2020-12-17,PEATON,4.0,2020-12-17,0-18
2020-0072,2020-12-19,BICICLETA,42.0,2020-12-19,31-45
2020-0073,2020-12-20,MOTO,56.0,2020-12-20,46-60
2020-0074,2020-12-20,AUTO,39.0,2020-12-20,31-45
2020-0075,2020-12-23,PEATON,23.0,2020-12-23,19-30
2020-0076,2020-12-24,AUTO,78.0,2021-01-17,61+
2020-0077,2020-12-25,MOTO,30.0,2020-12-25,31-45
2020-0077,2020-12-25,MOTO,24.0,2020-12-25,19-30
2020-0078,2020-12-25,BICICLETA,26.0,2020-12-25,19-30
2020-0079,2020-12-27,MOTO,28.0,2020-12-27,19-30
2021-0001,2021-01-06,MOTO,36.0,2021-01-06,31-45
2021-0002,2021-01-07,MOTO,47.0,2021-01-07,46-60
2021-0003,2021-01-10,MOTO,27.0,2021-01-10,19-30
2021-0004,2021-01-11,PEATON,61.0,2021-01-11,61+
2021-0005,2021-01-11,PEATON,73.0,2021-01-14,61+
2021-0006,2021-01-12,MOTO,23.0,2021-01-12,19-30
2021-0007,2021-01-18,MOTO,84.0,2021-01-26,61+
2021-0008,2021-01-22,PEATON,28.0,2021-01-22,19-30
2021-0009,2021-01-23,MOTO,31.0,2021-01-23,31-45
2021-0010,2021-01-23,MOTO,28.0,2021-01-23,19-30
2021-0011,2021-01-27,PEATON,21.0,2021-01-27,19-30
2021-0012,2021-01-29,PEATON,,2021-01-29,
2021-0013,2021-01-31,MOTO,41.0,2021-01-31,31-45
2021-0014,2021-02-02,PEATON,28.0,2021-02-18,19-30
2021-0015,2021-02-06,MOTO,26.0,2021-02-06,19-30
2021-0016,2021-02-14,AUTO,22.0,2021-02-14,19-30
2021-0017,2021-02-17,MOTO,33.0,2021-02-17,31-45
2021-0018,2021-02-20,PEATON,36.0,2021-03-08,31-45
2021-0019,2021-02-21,MOTO,30.0,2021-02-21,31-45
2021-0020,2021-02-21,PEATON,,2021-02-21,
2021-0021,2021-02-26,MOTO,39.0,2021-03-04,31-45
2021-0022,2021-02-28,PASAJEROS,68.0,2021-03-06,61+
2021-0023,2021-03-01,MOTO,24.0,2021-03-01,19-30
2021-0024,2021-03-03,BICICLETA,5.0,2021-03-03,0-18
2021-0025,2021-03-11,MOTO,37.0,2021-03-11,31-45
2021-0026,2021-03-15,MOTO,36.0,2021-03-15,31-45
2021-0027,2021-03-16,MOTO,19.0,2021-03-16,19-30
2021-0028,2021-03-29,PEATON,,2021-03-29,
2021-0029,2021-03-31,AUTO,26.0,2021-04-02,19-30
2021-0030,2021-04-03,PEATON,36.0,2021-04-07,31-45
2021-0031,2021-04-07,PEATON,68.0,2021-04-11,61+
2021-0032,2021-04-10,PEATON,60.0,2021-04-29,61+
2021-0033,2021-04-14,AUTO,33.0,2021-04-14,31-45
2021-0034,2021-04-19,MOTO,26.0,2021-04-19,19-30
2021-0035,2021-05-03,MOTO,24.0,2021-05-03,19-30
2021-0036,2021-05-09,MOTO,36.0,2021-05-09,31-45
2021-0037,2021-05-11,PEATON,58.0,2021-05-11,46-60
2021-0038,2021-05-14,MOTO,44.0,2021-05-14,31-45
2021-0039,2021-05-15,BICICLETA,86.0,2021-06-05,61+
2021-0040,2021-05-20,MOTO,27.0,2021-05-20,19-30
2021-0041,2021-05-20,PEATON,75.0,2021-05-20,61+
2021-0042,2021-05-21,PEATON,39.0,2021-05-21,31-45
2021-0043,2021-05-22,PEATON,50.0,2021-05-22,46-60
2021-0044,2021-05-25,MOTO,21.0,2021-05-25,19-30
2021-0045,2021-05-26,MOTO,22.0,2021-05-26,19-30
2021-0046,2021-05-31,AUTO,20.0,2021-05-31,19-30
2021-0047,2021-06-02,MOTO,59.0,2021-06-02,46-60
2021-0048,2021-06-03,BICICLETA,44.0,2021-06-23,31-45
2021-0049,2021-06-03,AUTO,74.0,2021-06-03,61+
2021-0050,2021-06-10,MOTO,56.0,2021-06-10,46-60
2021-0051,2021-06-15,PEATON,73.0,2021-06-16,61+
2021-0052,2021-06-20,MOTO,19.0,2021-06-20,19-30
2021-0053,2021-06-20,PEATON,58.0,2021-06-30,46-60
2021-0054,2021-06-22,MOTO,41.0,2021-06-22,31-45
2021-0055,2021-06-29,MOTO,47.0,2021-06-29,46-60
2021-0056,2021-07-09,BICICLETA,60.0,2021-07-09,61+
2021-0057,2021-07-10,AUTO,46.0,2021-07-10,46-60
2021-0058,2021-07-21,PEATON,24.0,2021-07-21,19-30
2021-0059,2021-07-22,AUTO,44.0,2021-07-22,31-45
2021-0060,2021-07-22,PEATON,80.0,2021-07-22,61+
2021-0061,2021-07-24,PEATON,55.0,2021-07-24,46-60
2021-0062,2021-07-27,AUTO,73.0,2021-07-27,61+
2021-0063,2021-08-02,AUTO,31.0,2021-08-02,31-45
2021-0064,2021-08-02,PEATON,37.0,2021-08-03,31-45
2021-0065,2021-08-06,PEATON,63.0,2021-08-10,61+
2021-0066,2021-08-06,PEATON,59.0,2021-08-09,46-60
2021-0067,2021-08-08,MOTO,27.0,2021-08-08,19-30
2021-0068,2021-08-15,MOTO,39.0,2021-08-15,31-45
2021-0069,2021-08-20,PEATON,17.0,2021-08-21,0-18
2021-0070,2021-08-28,MOTO,31.0,2021-08-28,31-45
2021-0071,2021-08-31,PEATON,88.0,2021-09-01,61+
2021-0072,2021-09-01,PEATON,57.0,2021-09-01,46-60
2021-0073,2021-09-18,BICICLETA,76.0,2021-09-18,61+
2021-0074,2021-09-20,MOTO,55.0,2021-09-20,46-60
2021-0075,2021-09-21,PEATON,65.0,2021-09-21,61+
2021-0076,2021-10-16,MOTO,31.0,2021-10-16,31-45
2021-0077,2021-10-18,MOTO,31.0,2021-10-18,31-45
2021-0078,2021-10-23,MOTO,22.0,2021-10-23,19-30
2021-0079,2021-10-25,PEATON,,2021-10-25,
2021-0080,2021-10-28,MOTO,32.0,2021-10-28,31-45
2021-0081,2021-11-02,MOTO,26.0,2021-11-02,19-30
2021-0082,2021-11-06,MOTO,38.0,2021-11-06,31-45
2021-0083,2021-11-09,MOTO,30.0,2021-11-09,31-45
2021-0084,2021-11-11,AUTO,32.0,2021-11-11,31-45
2021-0097,2021-11-18,BICICLETA,53.0,2021-11-19,46-60
2021-0085,2021-11-20,MOTO,49.0,2021-11-20,46-60
2021-0086,2021-11-25,PEATON,75.0,2021-11-25,61+
2021-0087,2021-11-27,PEATON,73.0,2021-11-27,61+
2021-0088,2021-12-01,MOTO,45.0,2021-12-07,46-60
2021-0089,2021-12-02,MOTO,41.0,2021-12-11,31-45
2021-0090,2021-12-10,PEATON,73.0,2022-01-03,61+
2021-0091,2021-12-11,MOTO,24.0,2021-12-11,19-30
2021-0092,2021-12-12,PEATON,50.0,2021-12-12,46-60
2021-0093,2021-12-13,MOTO,18.0,2021-12-18,19-30
2021-0094,2021-12-20,MOTO,43.0,2021-12-20,31-45
2021-0095,2021-12-30,MOTO,27.0,2022-01-02,19-30
2021-0096,2021-12-15,AUTO,60.0,2021-12-20,61+
